Loading design...
Design: SKY130 Voltage-Controlled Ring Oscillator
Parameters: 6
Specs: 5

DE: 6 params, pop=30, patience=30, workers=4
[DE] iter  211 | best: -7.381933e+00 | no_improve:  11 | div: 0.0044 | dt: 29.489s
[DE] iter  212 | best: -7.381933e+00 | no_improve:  12 | div: 0.0044 | dt: 29.853s
[DE] iter  213 | best: -7.381933e+00 | no_improve:  13 | div: 0.0043 | dt: 28.939s
[DE] iter  214 | best: -7.381933e+00 | no_improve:  14 | div: 0.0043 | dt: 28.379s
[DE] iter  215 | best: -7.382105e+00 | no_improve:   0 | div: 0.0045 | dt: 27.336s
[DE] iter  216 | best: -7.382105e+00 | no_improve:   1 | div: 0.0046 | dt: 27.312s
[DE] iter  217 | best: -7.382105e+00 | no_improve:   2 | div: 0.0045 | dt: 26.263s
[DE] iter  218 | best: -7.382105e+00 | no_improve:   3 | div: 0.0045 | dt: 26.334s
[DE] iter  219 | best: -7.382105e+00 | no_improve:   4 | div: 0.0045 | dt: 26.843s
[DE] iter  220 | best: -7.382105e+00 | no_improve:   5 | div: 0.0045 | dt: 26.018s
[DE] iter  221 | best: -7.382105e+00 | no_improve:   6 | div: 0.0045 | dt: 54.046s
[DE] iter  222 | best: -7.382105e+00 | no_improve:   7 | div: 0.0045 | dt: 27.428s
[DE] iter  223 | best: -7.382105e+00 | no_improve:   8 | div: 0.0045 | dt: 27.617s
[DE] iter  224 | best: -7.382105e+00 | no_improve:   9 | div: 0.0045 | dt: 27.445s
[DE] iter  225 | best: -7.382105e+00 | no_improve:  10 | div: 0.0045 | dt: 27.139s
[DE] iter  226 | best: -7.382105e+00 | no_improve:  11 | div: 0.0045 | dt: 27.052s
[DE] iter  227 | best: -7.382105e+00 | no_improve:  12 | div: 0.0045 | dt: 25.932s
[DE] iter  228 | best: -7.382105e+00 | no_improve:  13 | div: 0.0046 | dt: 26.133s
[DE] iter  229 | best: -7.382105e+00 | no_improve:  14 | div: 0.0046 | dt: 26.010s
[DE] iter  230 | best: -7.382105e+00 | no_improve:  15 | div: 0.0046 | dt: 27.506s
[DE] iter  231 | best: -7.382105e+00 | no_improve:  16 | div: 0.0046 | dt: 26.642s
[DE] iter  232 | best: -7.382105e+00 | no_improve:  17 | div: 0.0046 | dt: 55.178s
[DE] iter  233 | best: -7.382105e+00 | no_improve:  18 | div: 0.0046 | dt: 67.387s
[DE] iter  234 | best: -7.382105e+00 | no_improve:  19 | div: 0.0046 | dt: 25.984s
[DE] iter  235 | best: -7.382105e+00 | no_improve:  20 | div: 0.0046 | dt: 27.192s
[DE] iter  236 | best: -7.382105e+00 | no_improve:  21 | div: 0.0045 | dt: 26.863s
[DE] iter  237 | best: -7.382105e+00 | no_improve:  22 | div: 0.0045 | dt: 26.077s
[DE] iter  238 | best: -7.382105e+00 | no_improve:  23 | div: 0.0046 | dt: 25.998s
[DE] iter  239 | best: -7.382105e+00 | no_improve:  24 | div: 0.0046 | dt: 27.367s
[DE] iter  240 | best: -7.382105e+00 | no_improve:  25 | div: 0.0046 | dt: 25.928s
[DE] iter  241 | best: -7.382105e+00 | no_improve:  26 | div: 0.0046 | dt: 26.848s
[DE] iter  242 | best: -7.382105e+00 | no_improve:  27 | div: 0.0046 | dt: 22.239s
[DE] iter  243 | best: -7.382105e+00 | no_improve:  28 | div: 0.0046 | dt: 26.840s
[DE] iter  244 | best: -7.382105e+00 | no_improve:  29 | div: 0.0046 | dt: 44.307s
[DE] iter  245 | best: -7.382105e+00 | no_improve:  30 | div: 0.0046 | dt: 67.463s

============================================================
  Stop reason:  converged (div=0.0046, no_improve=30)
  Converged:    True
  Iterations:   245
  Best metric:  -7.382105e+00
  Diversity:    0.0046
  Best parameters:
    Ln: 2.538481e-01
    Lp: 1.310389e+00
    Ls: 2.009976e+00
    Wn: 5.013203e-01
    Wp: 8.444910e-01
    Ws: 1.926605e+00
============================================================


======================================================================
  EVALUATION REPORT — SKY130 Voltage-Controlled Ring Oscillator
======================================================================

  Score: 1.00 / 1.00  |  Time: 8269.7s
  DE converged: True  |  Iterations: 245  |  Diversity: 0.0046
  Stop reason: converged (div=0.0046, no_improve=30)

  Specs met: 5/5

  Spec                            Target     Measured     Unit   Status  Score
  -------------------------------------------------------------------------
  freq_hz                          >50e6     1.00e+08       Hz     PASS  1.00
  tuning_range_ratio                  >2        4.733        x     PASS  1.00
  power_uw                          <500       29.424       uW     PASS  1.00
  temp_variation_pct                 <10     1.00e-03        %     PASS  1.00
  jitter_pct                          <1        0.500        %     PASS  1.00

  Best Parameters:
    Ln                   = 2.5385e-01
    Lp                   = 1.3104e+00
    Ls                   = 2.0100e+00
    Wn                   = 5.0132e-01
    Wp                   = 8.4449e-01
    Ws                   = 1.9266e+00

======================================================================


Saved: best_parameters.csv, measurements.json, plots/
Score: 1.00 | Specs met: 5/5 | Converged: True
